기간	구분	합계	휘발유	등유	경유	벙커C유	LPG	기타
2010.01	합계	3,521	794	224	694	32	880	897
2010.02	합계	3,524	798	147	686	24	907	962
2010.03	합계	3,678	887	102	760	27	895	1,006
2010.04	합계	3,610	848	61	741	26	866	1,068
2010.05	합계	3,598	902	45	749	24	898	980
2010.06	합계	3,504	857	35	743	19	842	1,008
2010.07	합계	3,693	949	34	811	24	806	1,069
2010.08	합계	3,934	998	39	774	17	869	1,235
2010.09	합계	3,654	904	43	683	23	884	1,117
2010.10	합계	3,960	914	87	784	15	779	1,382
2010.11	합계	3,897	901	125	715	21	955	1,179
2010.12	합계	3,975	925	197	739	51	956	1,107
2011.01	합계	3,786	864	272	681	41	994	934
2011.02	합계	3,374	814	161	646	39	807	907
2011.03	합계	3,961	830	105	680	43	1,009	1,294
2011.04	합계	3,728	790	52	688	29	922	1,246
2011.05	합계	3,520	867	25	701	21	879	1,028
2011.06	합계	3,746	805	26	745	130	764	1,276
2011.07	합계	3,904	982	24	787	26	886	1,199
2011.08	합계	3,888	936	22	798	30	920	1,182
2011.09	합계	3,945	863	32	762	39	820	1,430
2011.10	합계	3,978	852	38	955	25	797	1,311
2011.11	합계	4,038	869	71	941	28	755	1,374
2011.12	합계	4,350	937	141	867	40	977	1,388
2012.01	합계	3,932	850	148	701	56	973	1,205
2012.02	합계	3,697	838	147	798	42	916	955
2012.03	합계	3,848	830	74	841	47	925	1,131
2012.04	합계	3,521	789	43	640	36	759	1,254
2012.05	합계	3,620	854	33	690	43	744	1,256
2012.06	합계	3,827	815	27	696	34	726	1,529
2012.07	합계	3,790	913	25	699	38	810	1,304
2012.08	합계	3,867	892	23	740	74	876	1,262
2012.09	합계	3,641	865	25	637	52	791	1,272
2012.10	합계	3,664	870	38	687	37	796	1,237
2012.11	합계	3,741	867	74	688	41	858	1,214
2012.12	합계	4,681	861	151	690	787	897	1,295
2013.01	합계	4,006	844	143	693	419	850	1,057
2013.02	합계	3,471	713	85	653	399	733	888
2013.03	합계	3,285	839	51	677	28	828	861
2013.04	합계	4,126	807	38	671	563	725	1,322
2013.05	합계	3,542	836	22	698	21	752	1,214
2013.06	합계	4,197	810	18	764	464	768	1,372
2013.07	합계	4,119	847	17	731	17	825	1,681
2013.08	합계	3,551	946	22	792	17	749	1,024
2013.09	합계	3,480	847	21	851	66	748	947
2013.10	합계	4,062	863	48	1,011	60	770	1,310
2013.11	합계	4,736	865	85	1,024	98	805	1,858
2013.12	합계	4,377	886	116	1,146	127	869	1,232
2014.01	합계	3,669	821	100	808	130	784	1,026
2014.02	합계	3,707	740	63	916	106	731	1,151
2014.03	합계	3,749	850	45	824	111	785	1,136
2014.04	합계	4,130	801	30	956	272	744	1,327
2014.05	합계	3,912	849	19	1,008	90	710	1,235
2014.06	합계	4,010	819	14	1,000	47	732	1,397
2014.07	합계	4,323	852	9	1,015	500	756	1,191
2014.08	합계	4,183	895	16	1,052	102	731	1,387
2014.09	합계	3,900	819	16	1,047	87	706	1,224
2014.10	합계	4,144	835	23	1,036	106	758	1,387
2014.11	합계	4,065	804	40	1,048	117	722	1,334
2014.12	합계	4,451	847	127	1,061	180	842	1,394
2015.01	합계	4,202	797	100	1,044	196	804	1,260
2015.02	합계	3,981	775	96	1,086	117	780	1,127
2015.03	합계	4,361	846	44	1,079	126	802	1,464
2015.04	합계	3,978	822	21	950	65	692	1,427
2015.05	합계	4,157	812	15	1,106	77	722	1,425
