지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),평균 전운량(1/10),평균 지면온도(°C)
108,서울,2010-01-01,-7.6,-12.7,654,-3.6,1501,,,3.4,70,2350,1.9,48,1.7,1010.6,1021.7,3.8,-4.6
108,서울,2010-01-02,-3.6,-7.4,2359,.2,1524,6.57,1.4,5,290,2243,2.8,76.4,3.6,1006.2,1017.2,6,-1.7
108,서울,2010-01-03,-6.8,-10.5,748,-3.2,1438,,,5.1,290,721,2.2,49.3,1.8,1010.7,1021.8,2.6,-3.3
108,서울,2010-01-04,-5.9,-8,2400,-3.4,1425,13.03,14.2,4.9,320,1516,3,84.1,3.4,1002.4,1013.4,7.5,-1.9
108,서울,2010-01-05,-9.9,-12.3,2333,-7,1506,.95,0,4.8,290,116,2.9,66.4,1.9,1011.4,1022.6,2.1,-.7
108,서울,2010-01-06,-11.2,-13.3,627,-8.1,1350,,,4.1,290,1344,1.9,65.5,1.7,1014.4,1025.8,1.3,-.9
108,서울,2010-01-07,-10.1,-13.6,554,-5.5,1450,,,3.8,270,1612,1.7,66.8,1.9,1015.5,1026.8,0,-1
108,서울,2010-01-08,-8,-11.8,657,-3.3,1509,,,4,290,1742,1.7,67.4,2.3,1013.9,1025.1,1.4,-1
108,서울,2010-01-09,-5.1,-8.7,528,-1.9,1438,3.92,.4,2.9,70,1017,1.5,75.8,3.2,1014.7,1025.8,7.8,-.8
108,서울,2010-01-10,-3.4,-5.3,507,-.3,1418,,,3.6,290,1537,1.7,79.1,3.8,1016.2,1027.2,4.1,-.4
108,서울,2010-01-11,-5.2,-8.3,2356,-1.3,1327,,,4.2,290,1926,2.3,75.1,3.1,1013.1,1024.2,5.4,-.6
108,서울,2010-01-12,-10.3,-12.9,2358,-7.3,1430,,,4.6,290,236,2.9,52.1,1.5,1010.5,1021.8,1.3,-1.1
108,서울,2010-01-13,-13.2,-15.3,748,-10.7,1447,,,5.6,290,1535,3.2,53.4,1.2,1013.1,1024.5,0,-1.8
108,서울,2010-01-14,-9.1,-14.4,543,-4.1,1507,.8,0,3.7,70,1941,1.8,55.8,1.7,1017.4,1028.7,2.6,-1.8
108,서울,2010-01-15,-5,-7.5,27,-.6,1424,5.7,.3,4.5,340,2040,2.4,65.1,2.8,1019.8,1030.9,4,-1
108,서울,2010-01-16,-6.4,-10.1,641,-2.1,1552,,,3.8,270,1438,1.9,52.5,1.9,1022.9,1034.1,.5,-1.4
108,서울,2010-01-17,-4,-9,743,1.4,1421,,,3.4,290,1456,1.4,61,2.8,1022.5,1033.6,.1,-1.4
108,서울,2010-01-18,-.5,-3.9,405,1.9,1524,,,2.9,70,1153,1.6,69.6,4.1,1020.6,1031.6,8.5,-.7
108,서울,2010-01-19,2.7,-1.6,630,6.8,1424,3.92,3,3.5,70,926,2.2,72.1,5.3,1016.9,1027.6,7.6,-.2
108,서울,2010-01-20,5.8,2.4,2357,8.4,1431,21.15,7,5.3,290,2359,1.7,96.5,8.9,1006.6,1017.2,10,.4
108,서울,2010-01-21,-4.1,-8,2357,2.4,0,1.42,.5,6.9,290,113,4.1,60.8,2.9,1012.2,1023.2,2.4,-.4
108,서울,2010-01-22,-7,-9.6,631,-3.4,1519,,,5.6,290,1511,3.5,47.3,1.7,1017.3,1028.4,.6,-2.9
108,서울,2010-01-23,-5.3,-9.1,605,-.9,1608,,,4.2,270,1631,2.1,46.4,1.9,1015.7,1026.8,1.1,-3.5
108,서울,2010-01-24,.3,-4.5,0,3.8,1322,,,6.8,250,1607,2.9,66.6,4.2,1011.5,1022.3,5.9,-.7
108,서울,2010-01-25,-3,-8.5,2357,2.6,201,,,6.6,320,1214,3.6,52.4,2.8,1013.8,1024.8,1.3,-.6
108,서울,2010-01-26,-4.1,-9.5,632,1.1,1512,,,4.9,250,1423,1.9,53.1,2.5,1020,1031.1,.6,-2.7
108,서울,2010-01-27,-.2,-4,230,3.1,1308,7.55,2.5,3.5,90,1830,2.1,72.6,4.4,1007.7,1018.5,7.8,-1.3
108,서울,2010-01-28,-.4,-5,2356,2.7,1315,,,6,270,1247,3.6,68.1,4.2,1008.9,1019.7,3.4,.5
108,서울,2010-01-29,-2.1,-7.3,322,1.4,1616,.42,0,6.1,270,1608,2.7,55.1,3.1,1012.6,1023.5,4.9,-.9
